question_id,question,my_forecast_%,community_median_%,gap_points,category,resolve_time,url
43432,"Will there be a successful coup in Africa or Latin America before September 1, 2026?",6.0,,,Politics,2026-09-01,https://www.metaculus.com/questions/43432/
41219,Will Vivek Ramaswamy win the 2026 Ohio gubernatorial election?,56.0,,,Politics,2026-11-10,https://www.metaculus.com/questions/41219/
42575,Will Iran participate in the 2026 FIFA World Cup?,32.0,,,Sports & Entertainment,2026-06-15,https://www.metaculus.com/questions/42575/
43603,Will a case of Bundibugyo Ebola disease be first confirmed in the US before 2027?,6.0,,,Health & Pandemics,2026-06-18,https://www.metaculus.com/questions/43603/
37460,"Will presidential impoundment authority be expanded by the Supreme Court or by law before November 3, 2026?",8.0,,,Law,2026-11-03,https://www.metaculus.com/questions/37460/
39432,"Will Russia, India, and China hold a trilateral (three-way) meeting before September 1, 2026?",9.0,,,Geopolitics,2026-09-01,https://www.metaculus.com/questions/39432/
42771,Will all of these New England comic con events be held during 2026?,93.0,,,Sports & Entertainment,2026-11-08,https://www.metaculus.com/questions/42771/
41425,"Will the 2026 U.S. midterm elections be considered ""free and fair""?",93.0,,,Social Sciences,2027-01-21,https://www.metaculus.com/questions/41425/
43288,"Will Waymo have a service area of 1,200 square miles before July 1, 2026?",18.0,,,Technology,2026-07-01,https://www.metaculus.com/questions/43288/
41621,Will widespread non-citizen voting occur in the 2026 U.S. midterm elections?,1.0,,,Elections,2027-01-21,https://www.metaculus.com/questions/41621/
39780,Will the U.S. Department of Commerce complete a new census before the 2026 midterms?,4.0,,,Politics,2026-11-03,https://www.metaculus.com/questions/39780/
41930,Will Trump ban U.S. states from using mail-in ballots for the 2026 Midterm Elections?,8.0,,,Social Sciences,2026-11-04,https://www.metaculus.com/questions/41930/
43264,"Will the CBOE Volatility Index (VIX) close above 30 on more than 5 trading days between April 20, 2026 and May 31, 2026?",2.0,,,Economy & Business,2026-06-01,https://www.metaculus.com/questions/43264/
41424,Will Donald Trump be a primary voting factor in the 2026 U.S. Midterms?,42.0,,,Social Sciences,2027-01-21,https://www.metaculus.com/questions/41424/
43498,"Will a new High Representative for Bosnia and Herzegovina officially be in place before September 2, 2026?",55.0,,,Politics,2026-09-02,https://www.metaculus.com/questions/43498/
38280,Will over 2/3 of EU member states recognize Palestinian statehood before July 2026?,8.0,,,Geopolitics,2026-07-01,https://www.metaculus.com/questions/38280/
41418,Will Mary Peltola win the 2026 US Senate election in Alaska?,42.0,,,Politics,2026-11-30,https://www.metaculus.com/questions/41418/
43090,"Will any AI model achieve a score of 95% or higher on the GPQA Diamond Benchmark Leaderboard before June 1, 2026?",8.0,,,Artificial Intelligence,2026-06-01,https://www.metaculus.com/questions/43090/
43182,"Will the U.S. Senate pass another budget reconciliation bill before July 4, 2026?",72.0,,,Politics,2026-07-04,https://www.metaculus.com/questions/43182/
40928,"Will Bitcoin reach a new all-time high price before October 6, 2026?",32.0,,,Economy & Business,2026-10-06,https://www.metaculus.com/questions/40928/
36888,Will the ceasefire between the U.S. and Yemen’s Houthis mediated by Oman be broken before June 2026?,8.0,,,Social Sciences,2026-06-02,https://www.metaculus.com/questions/36888/
39090,"Will Lisa Cook cease to be a member of the Federal Reserve Board of Governors before November 3, 2026?",15.0,,,Politics,2026-11-04,https://www.metaculus.com/questions/39090/
36515,Will federal legislation be passed before the 2026 midterm elections offering immunity to banks providing financial serv,38.0,,,Law,2026-11-04,https://www.metaculus.com/questions/36515/
40795,Will the winner of the 2026 FIFA World Cup be a country that has never won before?,6.0,,,Sports & Entertainment,2026-07-19,https://www.metaculus.com/questions/40795/
41205,Will Joe Biden's autopen orders be declared 'null and void' before the 2026 midterms?,3.0,,,Elections,2026-11-05,https://www.metaculus.com/questions/41205/
43360,Will the UK National Threat Level reduce from SEVERE before September 2026?,20.0,,,Geopolitics,2026-09-01,https://www.metaculus.com/questions/43360/
38463,Will computer science and engineering see a greater percentage decrease (or smaller increase) in the number of enrolled ,38.0,,,Politics,2026-11-18,https://www.metaculus.com/questions/38463/
43459,"Will Donald Trump and Vladimir Putin meet in person before October 1, 2026?",99.0,,,Geopolitics,2026-10-01,https://www.metaculus.com/questions/43459/
40916,"Will Anthropic file an initial registration statement (S-1) with the SEC to launch an IPO, before July 1, 2026?",22.0,,,Economy & Business,2026-07-01,https://www.metaculus.com/questions/40916/
43465,Will at least 5 non-passengers be linked to the MV Hondius hantavirus outbreak before August 2026?,16.0,,,Health & Pandemics,2026-08-01,https://www.metaculus.com/questions/43465/
38099,"Will the US government file a denaturalization lawsuit against Elon Musk before July 1, 2026?",7.0,,,Law,2026-07-01,https://www.metaculus.com/questions/38099/
43506,"Will Instructure be subject to another major hack before September 1, 2026?",48.0,,,Economy & Business,2026-09-01,https://www.metaculus.com/questions/43506/
38265,Will Barack Obama be arrested before July 2026?,3.0,,,Law,2026-07-01,https://www.metaculus.com/questions/38265/
38485,"Before July 1, 2026, will the U.S. Supreme Court agree to hear a case that could end the constitutional right to same-se",7.0,,,Law,2026-07-01,https://www.metaculus.com/questions/38485/
36295,"Will the market capitalization for USDT & USDC stablecoins surpass $300 billion USD by June 30, 2026?",42.0,,,Economy & Business,2026-07-01,https://www.metaculus.com/questions/36295/
43488,Will Claude Mythos or a similar model be publicly released before September 2026?,18.0,,,Artificial Intelligence,2026-09-01,https://www.metaculus.com/questions/43488/
43501,Will any U.S. state or EU member state restrict large-scale data center grid connections before September 2026?,42.0,,,Politics,2026-09-02,https://www.metaculus.com/questions/43501/
37484,Will the DOJ officially remove the requirement for U.S. attorneys to consult with the Public Integrity Section before pr,25.0,,,Law,2026-11-05,https://www.metaculus.com/questions/37484/
38499,Will Escambia County athletes be more likely than non-athletes to have cross-race friendships in 2026?,31.0,,,,2026-07-31,https://www.metaculus.com/questions/38499/
