scan_date,scan_time,symbol,price,decision,direction,confidence,leverage,risk,momentum_24h,momentum_7d,volume_trend_pct,rsi,funding_rate,oi_change_pct,reasoning,sfp_signal
7/06/2026,20:42:39,BTCUSDT,62307.4,HOLD,none,0.35,5,MEDIUM,2.53,-15.7,-41.9,47.2,-0.0012,1.36,Mixed signals prevent conviction: 24h momentum is positive (+2.53%) but significantly undermined by sharp 7d decline (-15.70%) and distance from 7d high (-16%). RSI at 47.2 shows neither strength nor ,
7/06/2026,20:42:39,ETHUSDT,1628.07,BUY,long,0.68,5,MEDIUM,4.5,-19.49,-33.8,33,-0.0127,0.88,"Extreme fear environment (12) favours longs per macro rules; 24h momentum strong at +4.50% with price 8.25% above 7d low suggests early recovery bounce. However, -19.49% 7d momentum, depressed RSI (33",
7/06/2026,20:42:39,BNBUSDT,592,BUY,long,0.62,5,MEDIUM,3.23,-18.1,-61.3,47.6,0.01,1.24,"Macro environment favours longs (extreme fear regime), 24h momentum is positive (+3.23%), and funding rate is healthy at +0.01% (well below excessive threshold). However, conviction is tempered by wea",
7/06/2026,20:42:39,SOLUSDT,64.55,HOLD,none,0.35,5,MEDIUM,3.45,-21.97,-37.6,36.8,-0.0326,-0.23,"Mixed signals prevent conviction: macro fear regime and negative 7d momentum (-21.97%) argue caution, but 24h bounce (+3.45%) and RSI 36.8 (oversold) create temptation for longs. Volume collapse (-37.",
7/06/2026,20:42:39,XRPUSDT,1.1349,HOLD,none,0.35,5,MEDIUM,4.42,-15.38,-20.5,50.3,-0.0138,0.23,"Mixed signals prevent high-conviction entry: 24h momentum is positive (+4.42%) and macro environment favours longs (extreme fear regime), but 7d momentum is sharply negative (-15.38%) and volume has d",
7/06/2026,20:42:39,DOGEUSDT,0.08434,BUY,long,0.68,5,MEDIUM,3.87,-16.27,-39.8,43.9,0.0087,-0.59,"Macro environment favours longs in extreme fear conditions; 24h momentum is positive (+3.87%) and funding rate is benign (+0.0087%). However, 7d momentum is significantly negative (-16.27%), price is ",
7/06/2026,20:42:39,ADAUSDT,0.165,BUY,long,0.65,5,MEDIUM,5.63,-30.38,-24,59.4,0.01,-2,"Extreme fear environment favours longs; 24h momentum strongly positive (+5.63%) with RSI at 59.4 (neutral, not overbought). However, 7d momentum is deeply negative (-30.38%) and volume is declining (-",
7/06/2026,20:42:39,TRXUSDT,0.32859,HOLD,none,0.35,5,MEDIUM,2.79,-5.72,-12.9,53.1,-0.0009,-0.53,"Mixed signals prevent conviction: 24h momentum is positive (+2.79%) but 7d momentum is negative (-5.72%), and volume is declining (-12.9% vs 7d avg). RSI at 53.1 is neutral, lacking directional bias. ",
7/06/2026,20:42:39,AVAXUSDT,6.711,HOLD,none,0.35,5,HIGH,0.48,-25.51,-35.8,29,-0.0173,-0.95,"While macro environment favours longs and funding is neutral (-0.0173%), technical setup is severely compromised: RSI at 29 signals oversold conditions (extreme), 7d momentum deeply negative at -25.51",
7/06/2026,20:42:39,TONUSDT,1.7067,HOLD,none,0.42,5,MEDIUM,10.24,-9.99,-39.6,58.1,0.005,2.71,"Mixed signals prevent conviction: +10.24% 24h momentum and macro fear environment favour longs, but -9.99% 7d momentum, -25.32% distance from 7d high, and -39.6% volume decline suggest weakness. RSI a",
7/06/2026,20:42:39,LINKUSDT,7.713,HOLD,none,0.45,5,MEDIUM,5.47,-16.39,-47.2,47.5,0.0081,-1,"Mixed signals prevent clear conviction: +5.47% 24h momentum and extreme fear environment favour longs, but -16.39% 7d momentum, -47.2% volume decline, and RSI 47.5 (neutral) suggest weak underlying tr",
7/06/2026,20:42:39,DOTUSDT,0.9654,HOLD,none,0.35,5,MEDIUM,2.18,-18.99,-59.7,37.9,-0.0151,-1.16,"Mixed signals prevent clear conviction: 7d momentum is deeply negative (-18.99%) and price is 19.94% below 7d high, yet macro environment favours longs and 24h momentum is positive (+2.18%). Volume co",
7/06/2026,20:42:39,LTCUSDT,42.39,BUY,long,0.68,5,MEDIUM,-0.84,-18.95,2.6,29.2,-0.0164,4.58,"Extreme fear environment (FGI: 12) favors longs per macro regime; RSI at 29.2 signals oversold conditions with potential reversal. Negative funding rate (-0.0164%) reduces crowding risk, and rising vo",
7/06/2026,20:42:39,NEARUSDT,1.8891,HOLD,none,0.35,5,HIGH,-1.41,-16.84,-39.3,24.8,0.0022,1.89,"RSI at 24.8 indicates oversold conditions, and macro environment favours longs in extreme fear. However, negative 7d momentum (-16.84%), depressed volume (-39.3%), and price near 7d lows create confli",
7/06/2026,20:42:39,BCHUSDT,224.7,HOLD,none,0.45,5,MEDIUM,2.37,-25.91,-13.5,38.7,-0.0087,7.17,"Mixed signals prevent conviction: 7d momentum is deeply negative (-25.91%) and price is 26% below 7d high, but macro environment favors longs in extreme fear and 24h momentum is positive (+2.37%). RSI",
7/06/2026,20:42:39,APTUSDT,0.6722,HOLD,none,0.35,5,HIGH,3.07,-28.5,-51.4,33.6,-0.0062,-0.43,"Mixed signals prevent conviction: 24h momentum is positive (+3.07%) but 7d momentum is deeply negative (-28.50%), price is 30% below 7d high, and volume is collapsing (-51.4%). RSI at 33.6 is oversold",
7/06/2026,20:42:39,ICPUSDT,2.363,HOLD,none,0.35,5,MEDIUM,2.61,-13.22,-42.2,38.5,0.01,-2.71,"Mixed signals prevent conviction: while macro environment favours longs (extreme fear, market regime), technical deterioration (7d momentum -13.22%, 26.61% below 7d high, RSI 38.5 in bearish zone) and",
7/06/2026,20:42:39,HBARUSDT,0.08149,HOLD,none,0.35,5,MEDIUM,3.73,-17.53,-64.1,49,-0.0013,-1.29,"Mixed signals prevent conviction: while macro environment favors longs and funding is benign (-0.0013%), weak 7d momentum (-17.53%), low volume (-64.1% vs avg), and neutral RSI (49.0) lack the confirm",
7/06/2026,20:42:39,UNIUSDT,2.553,HOLD,none,0.35,5,MEDIUM,5.28,-15.8,-41.9,48.7,0.0034,0.85,"Mixed signals prevent conviction: 24h momentum is positive (+5.28%) and macro environment favours longs, but 7d momentum is sharply negative (-15.80%) with price -16.30% from 7d high. Volume is declin",
7/06/2026,20:42:39,SUIUSDT,0.7486,BUY,long,0.68,5,MEDIUM,6.68,-16.91,-40.3,56.7,0.01,-0.42,"Strong 24h momentum (+6.68%) with RSI at neutral 56.7 and funding at benign +0.0100% creates a viable long setup in an extreme fear environment that favours longs. However, weakness in 7d momentum (-1",
7/06/2026,20:42:39,HYPEUSDT,58.829,HOLD,none,0.35,5,MEDIUM,-1.36,-13.22,-50.2,42.4,0.0093,-0.3,"Mixed signals prevent conviction: macro regime favours longs (extreme fear environment), but technical structure shows clear downtrend (-13.22% 7d momentum, -22.40% from 7d high) with weak volume (-50",
7/06/2026,20:51:29,BTCUSDT,62323,BUY,long,0.62,5,MEDIUM,2.55,-15.68,-41.2,47.3,-0.0012,1.36,"Extreme fear environment (FGI: 12) favours longs per macro rules; 24h momentum positive (+2.55%) with price near 7d range midpoint (5.49% above low). However, 7d momentum is strongly negative (-15.68%",
7/06/2026,20:51:29,BNBUSDT,591.4,BUY,long,0.62,5,MEDIUM,3.12,-18.18,-61,47.1,0.01,1.24,"Extreme fear environment favours longs; 24h momentum is positive (+3.12%) and price recovered 6.31% from 7d low, with funding rate benign at +0.01%. However, 7d momentum is deeply negative (-18.18%), ",
7/06/2026,20:51:29,SOLUSDT,64.5,HOLD,none,0.35,5,HIGH,3.37,-22.03,-36.3,36.6,-0.0324,-0.23,"Mixed signals prevent conviction: 7d momentum is deeply negative (-22.03%) and price is 22.39% below 7d high, but 24h momentum is positive (+3.37%) and macro regime favors longs in extreme fear. RSI a",
