question_id,question,my_forecast_%,community_median_%,gap_points,resolved,resolve_time,category,url
43637,Will the 2026 Alberta independence referendum pass?,,,,open,,,https://www.metaculus.com/questions/43637/
43634,Will Claude Mythos or a similar model be publicly released before September 2026?,,,,open,,,https://www.metaculus.com/questions/43634/
43613,Will a case of Bundibugyo Ebola disease be first confirmed in the US before 2027?,,,,open,,,https://www.metaculus.com/questions/43613/
43608,Will the July 2026 U.S. CPI-U 12-month inflation rate be at least 4.0%?,,,,open,,,https://www.metaculus.com/questions/43608/
43606,Will a case of Bundibugyo Ebola disease be first confirmed in the US before 2027?,,,,open,,,https://www.metaculus.com/questions/43606/
43604,Will Pope Leo XIV visit another country other than Spain before September 2026?,,,,open,,,https://www.metaculus.com/questions/43604/
43603,"Will a new High Representative for Bosnia and Herzegovina officially be in place before September 2, 2026?",,,,open,,,https://www.metaculus.com/questions/43603/
43602,Will the Senate of the Philippines remove Vice President Sara Duterte from office before September 2026?,,,,open,,,https://www.metaculus.com/questions/43602/
43593,"Will Bitcoin trade above $120,000 before August 1, 2026?",,,,open,,,https://www.metaculus.com/questions/43593/
43590,Will the next IPC Sudan acute food insecurity analysis classify at least one area in Famine (IPC Phase 5)?,,,,open,,,https://www.metaculus.com/questions/43590/
43589,"Will SpaceX be listed on Nasdaq's official IPO calendar with a scheduled first trading date on or before June 30, 2026, ",,,,open,,,https://www.metaculus.com/questions/43589/
43588,"Will SpaceX publicly file its S-1 IPO prospectus on SEC EDGAR before May 31, 2026?",,,,open,,,https://www.metaculus.com/questions/43588/
43586,"Will total 2026 DeFi hack losses exceed $1 billion on DefiLlama by May 31, 2026?",,,,open,,,https://www.metaculus.com/questions/43586/
43585,Will Flávio Bolsonaro remain the highest-polling non-Lula candidate in every national first-round 2026 Brazilian preside,,,,open,,,https://www.metaculus.com/questions/43585/
43584,"Will Drift Protocol resume perpetuals trading before May 31, 2026?",,,,open,,,https://www.metaculus.com/questions/43584/
43583,Will SpaceX Starship achieve a controlled soft splashdown of the upper stage (Ship) on a flight test launched between Ma,,,,open,,,https://www.metaculus.com/questions/43583/
43582,Will a new cyberattack or data breach affecting Antel or one of its subsidiaries be publicly reported between May 17 and,,,,open,,,https://www.metaculus.com/questions/43582/
