scan_date,scan_time,symbol,price,decision,direction,confidence,leverage,risk,momentum_24h,momentum_7d,volume_trend_pct,rsi,funding_rate,oi_change_pct,reasoning
2026-06-07,19:58:31,BTCUSDT,64907.2,HOLD,none,0.35,5,HIGH,48.8,17.48,-89.4,42.3,0.5,0.0,"While 24h momentum is strong (+48.80%) and macro environment favours longs (extreme fear regime), multiple red flags prevent conviction: RSI at 42.3 suggests limited upside before overbought, volume c"
2026-06-07,19:58:31,ETHUSDT,4426.79,HOLD,none,0.35,5,HIGH,184.07,287.18,-98.8,52.3,0.5,0.0,"While macro environment favours longs (extreme fear) and momentum is extremely strong (+184% 24h, +287% 7d), critical sell signals override: volume collapsed -98.8% below 7-day average indicating exha"
2026-06-07,19:58:31,BNBUSDT,559.6,HOLD,none,0.35,5,MEDIUM,0.0,-24.12,-100.0,45.9,0.01,0.0,"Mixed signals prevent conviction: while macro environment favours longs (extreme fear, positive funding rate) and RSI (45.9) is neutral, negative 7d momentum (-24.12%), volume collapse (-100%), and di"
2026-06-07,19:58:31,SOLUSDT,43.57,HOLD,none,0.35,5,HIGH,0.0,-96.84,-99.8,50.0,-0.5,-0.01,"Mixed signals prevent conviction: while macro environment favors longs and funding rate is favorable (-0.5%), the 7d momentum is deeply negative (-96.84%), volume has collapsed (-99.8%), and RSI is ne"
2026-06-07,19:58:31,XRPUSDT,1.7122,HOLD,none,0.35,5,HIGH,65.98,124.88,1997.9,19.3,0.5,0.0,"XRP shows extreme momentum (+65.98% 24h, +124.88% 7d) with RSI at 19.3 (oversold), but funding rate at +0.5000% exceeds the +0.15% threshold, creating severe squeeze risk for longs. Macro environment "
2026-06-07,19:58:31,DOGEUSDT,0.26658,HOLD,none,0.25,5,HIGH,0.0,82.59,-100.0,89.8,0.58,0.0,"RSI at 89.8 indicates extreme overbought conditions with no fresh volume confirmation (volume down 100% vs 7d avg), creating significant squeeze risk despite strong 7d momentum. Funding rate at +0.58%"
2026-06-07,19:58:31,ADAUSDT,0.1491,HOLD,none,0.35,5,HIGH,-3.81,-37.09,-100.0,13.7,0.01,0.0,"Extreme fear regime suggests favoring longs, but ADA exhibits severe downtrend (-37.09% 7d momentum), oversold RSI (13.7), and critically collapsed volume (-100% vs 7d avg) indicating exhaustion witho"
2026-06-07,19:58:31,TRXUSDT,0.35167,HOLD,none,0.15,5,HIGH,0.0,-1.2,-100.0,100.0,0.01,0.0,"RSI at 100.0 indicates extreme overbought conditions with price locked at 7d low despite zero 24h momentum, creating a divergence signal. Volume collapsed -100% versus 7d average, contradicting any tr"
2026-06-07,19:58:31,LINKUSDT,4.06,HOLD,none,0.35,5,MEDIUM,0.0,-1.6,-96.6,44.0,0.01,0.0,"Mixed signals prevent conviction: LINK is 23.66% below 7d high with negative 7d momentum (-1.60%), but macro environment favours longs during extreme fear. Volume collapse (-96.6%) and flat 24h moment"
2026-06-07,19:58:31,DOTUSDT,0.9644,HOLD,none,0.35,5,HIGH,-8.67,-19.07,-99.1,0.1,-0.5997,0.0,"Extreme fear environment and massively negative momentum (-19.07% 7d, -8.67% 24h) suggest capitulation, but critically weak volume (-99.1% vs 7d avg) and RSI at 0.1 indicate exhaustion rather than con"
